Date,User,Tweet,Polarity,Preprocessed_Tweet
2023-03-31 18:07:02+00:00,MylordNtambo,"@Nath_Yamb Eux ont coupés leurs arbres pour construire à la place des gratte-ciel et se donner la qualification “ pays développés ”. Mais quand c’est notre tour de penser développement, on ns sort des formules telles que “ écologie, réchauffement climatique…

ASENTE DADA @Nath_Yamb 🙏🙏🙏",-1.0,"couper leur arbre construir place gratt ciel donner qualification     pays développé     quand tour penser développement ns sort formule tel     écologie réchauffement climatique 

  asent dader   "
2023-03-31 18:06:42+00:00,SkyRunner_69,@Mediavenir Profitant du réchauffement climatique? Celui causé par l'homme ou celui causé par la nature elle même ?,-1.0,profitant réchauffement climatique celui causer homme celui causer nature
2023-03-31 18:01:48+00:00,MylordNtambo,"@Djamilatou_ @Nath_Yamb Eux ont coupés leurs arbres pour construire à la place des gratte-ciel et se donner la qualification “ pays développés ”. Mais quand c’est notre tour de penser développement, il nous des formules telles que “ écologie, réchauffement climatique…",-1.0,    couper leur arbre construir place gratt ciel donner qualification     pays développé     quand tour penser développement formule tel     écologie réchauffement climatique
2023-03-31 18:00:12+00:00,FabienRiva,"@EmmanuelMacron C est magique...comme c est un bien commun. Vous en aurez moins et elle vous coutera plus chers.
En même temps qui aurait pu prévoir ce réchauffement climatique comme il dit...",1.0,"magique comme bien commun moins couterer plus cher 
  temps pouvoir prévoir réchauffement climatique comme dire"
2023-03-31 17:57:17+00:00,gdbx9z,"@CommanderTorenn @EmmanuelMacron manque de pluie = sécheresse dû au réchauffement climatique , j’imagine qu’il doit te falloir un schéma avec un nuage , de l’eau et un soleil ? terrible de vouloir chercher la petite bête au lieu de se rendre compte que t’es juste débile au possible",-1.0,    manqu plui     sécheresse devoir réchauffement climatique     imagine devoir falloir schémer nuage     eau soleil     terrible vouloir chercher petit bête lieu rendre compte juste débile possible
2023-03-31 17:54:23+00:00,CommanderTorenn,@gdbx9z @EmmanuelMacron Le réchauffement climatique favorise le manque de pluie ?,1.0,    réchauffement climatique favoriser manqu plui
2023-03-31 17:52:29+00:00,OuestFrance,Pourrons-nous continuer à boire du vin de Bordeaux avec un réchauffement climatique à +4 °C ? https://t.co/qJWDHUMVvb,1.0,pouvoir continuer boire vin bordeaux réchauffement climatique        
2023-03-31 17:51:38+00:00,chegoldkgb,@Qofficiel Faire croire aux gens que c'est la science qui valait sauver du réchauffement climatique est une aberration totale puisque c'est la consommation elle-même qui engendre la fin de la vie sur Terre quid du système économique capitaliste qui en est le responsable,1.0,faire croire gen science valoir sauver réchauffement climatique aberration total puisque consommation engendrer fin vie terr quid système économique capitaliste responsable
2023-03-31 17:49:51+00:00,chegoldkgb,@Qofficiel @AmandaSthers @Aurelie_JEAN @zahodesagazan @TMCtv Avoir écrit un livre marqué 2050 résistance et tenir ce genre de propos me fait penser à une certaine bienveillance envers la technologie qui quand même est responsable de la pollution du réchauffement climatique et de la fin de la biodiversité,1.0,       avoir écrire livre marquer     résistance tenir genr propos faire penser certain bienveillance envers technologie quand responsable pollution réchauffement climatique fin biodiversité
2023-03-31 17:48:14+00:00,gdbx9z,"@CommanderTorenn @EmmanuelMacron manque de pluie = sécheresse , et le réchauffement climatique favorise ce genre de choses , compliqué à comprendre où il vous faut trouver un gourou à pointer du doigt pour justifier tout vos maux ?",1.0,    manqu plui     sécheresse     réchauffement climatique favoriser genre chose     compliquer comprendre où falloir trouver gourou pointer doigt justifier tout mal
2023-03-31 17:43:53+00:00,Begood696969,"@TigzyRK @Shuyaftw @Mediavenir Bah si ça a toujours existé pourquoi faire peur uniquement maintenant avec ça ?
Des ''eaux côtières chaudes'' on a pas attendu d'être en pleine bouze en terme de réchauffement climatique pour réunir ces conditions 🤡",-1.0,"     bah si cela toujours exister pourquoi faire peur uniquement maintenant cela  
  eau côtier chaud attendre être pleine bouze terme réchauffement climatique réunir condition"
2023-03-31 17:40:30+00:00,Mekkiceh,"@SangD_Encre @AnthonyMeilland @LaTacfi @PenelopeB Par contre dans le reste du monde, ce n'est pas terrible pour la biodiversité, et le réchauffement climatique (dont vous niez les causes anthropiques) y a largement sa part.",1.0,      contre reste monde terrible biodiversité réchauffement climatique dont nier cause anthropique largement part
2023-03-31 17:33:35+00:00,Lance_C100,@cfhinor @Micka_Xtk réchauffement climatique c'est juste n'importe quoi et extrêmement facile.,-1.0,    réchauffement climatique juste importer quoi extrêmement facile
2023-03-31 17:33:12+00:00,zak_maxx,"On est où là ? On est face à un réchauffement climatique, un système capitaliste à bout de souffle et ce gouvernement fait des unes des Playboy",1.0,où là     face réchauffement climatique système capitaliste bout souffl gouvernement faire une playboy
2023-03-31 17:29:55+00:00,Shir01001111,"@Mediavenir Super, bientôt on pourra même plus se baigner sans risquer de se faire dévorer par une bactérie... On aura vraiment tout vu avec le réchauffement climatique ! #Vibriovulnificus",1.0,super bientôt pouvoir plus baigner sans risquer faire dévorer bactérie vraiment tout voir réchauffement climatique      vibriovulnificu
2023-03-31 17:28:34+00:00,rickdadier,"N'empêche.
Grâce à l'inaction totale du gouvernement face au réchauffement climatique, on n'a pas dû subir les coupures d'électricité que l'on craignait cet hiver.
Et ça personne ne le dit.",-1.0,"empêcher 
  grâce inaction total gouvernement face réchauffement climatique devoir subir coupure électricité craindre ce hiver 
  cela personn dire"
2023-03-31 17:24:52+00:00,PWYP_MADAGASCAR,"Avec la menace du réchauffement climatique, les minerais de transition sont devenus un enjeu majeur dans le monde entier!

@MinesMadagascar une stratégie nationale de ces minerais est essentielle pour assurer une transition énergétique juste et durable pour #Madagascar.",1.0,"menace réchauffement climatique minerai transition devenir enjeu majeur monde entier 

   stratégie national miner essentiel assurer transition énergétique juste durable madagascar"
2023-03-31 17:21:54+00:00,NicaiseAss21,"😍😍🧐LE HAUT MARICHAL DES PROTOCOLES DU   MONDE INFORMATIQUE &lt;&lt;

🤔🤔Le réchauffement climatique est une réalité planétaire.
 
🤔🤔Evitons…évitions…évitons…la fin du monde.

                           🥰🥰PASSONS AU VERT-BIO https://t.co/KN7dIzjbli",1.0,"haut marichal protocole     monde informatique lt lt 

   réchauffement climatique réalité planétaire 
 
   eviton évition éviter fin monde 

                              passon vert bio"
2023-03-31 17:17:20+00:00,gatien_actu,"🪱🌊 FLASH - Une bactérie mangeuse de chair (pouvant provoquer des infections mortelles) se développe dans les océans en profitant du réchauffement climatique. Le nombre de personnes touchées pourrait doubler dans les 20 années à venir.
(LCI) https://t.co/p2CBhYcwU7",1.0,"    flash     bactérie mangeus chair pouvoir provoquer infection mortel développer océan profiter réchauffement climatique nombre personne toucher pouvoir doubler     année venir 
   lci"
2023-03-31 17:15:46+00:00,Mekkiceh,@SangD_Encre @AnthonyMeilland @LaTacfi @PenelopeB Ca fonctionne comme pour le réchauffement climatique: Ce n'est pas parce qu'il a fait froid pendant 3 jours en hiver que l'on peut en déduire l'absence de réchauffement. C'est l'évolution de l'ensemble des jours sur plusieurs années qu'il faut considérer. Et ça chauffe ! https://t.co/65JjCJj9ul,1.0,      ca fonctionner comme réchauffement climatique parce fait froid pendant     jour hiver pouvoir déduire absence réchauffement évolution ensembl jour plusieurs année falloir considérer ça chauffe   
2023-03-31 17:14:47+00:00,10121Ws,"""La Grande arnaque du réchauffement climatique"" film documentaire de 2007. 
https://t.co/7ECNh6sOYB https://t.co/u9QMVUKYcc",-1.0,"grand arnaque réchauffement climatique film documentaire    
 "
2023-03-31 17:13:59+00:00,BaptisteMenon,@XR_SaintEtienne @xrFrance C’est marrant comment vous avez l’air conscient du réchauffement climatique (apparemment) et que vous luttez contre les adaptations que nous mettons en place en brulant des voitures de crs et des poubelles en plastique… 🤔🤦‍♂️#rechauffementclimatique,1.0,    marrer comment air conscient réchauffement climatique apparemment lutter contre adaptation metton plac bruler voiture crs poubelle plastique     rechauffementclimatiqu
2023-03-31 17:13:32+00:00,Europhobe,"Catherine Colonna avec John Kerry, chargé de la lutte contre le réchauffement climatique. Quelle blague ! L'Amérique nous vend à prix d'or son gaz de schiste et invite les entreprises européennes à s'installer sur son sol. La France sera 100% verte mais n'aura plus d'usines... https://t.co/NIFKuttf2s",1.0,catherine colonna john kerry charger lutte contre réchauffement climatique quel blague     amérique vendre prix or gaz schist invite entreprise européen installer sol france      verte plus usine
2023-03-31 17:11:34+00:00,nawel42056055,"@JedarPierre Oui,effectivement, je déteste  la chaleur c'est Horrible. 
Je ne veux même pas sortir dehors.
Le réchauffement climatique.",1.0,"oui effectivement détest chaleur horrible  
  veux sortir dehors 
  réchauffement climatique"
2023-03-31 17:11:19+00:00,OlivierJorba,"🪱🌊  Une bactérie mangeuse de chair (pouvant provoquer des infections mortelles) se développe dans les océans en profitant du réchauffement climatique. Le nombre de personnes touchées pourrait doubler dans les 20 années à venir.
#ClimateCrisis #infections #Oceans https://t.co/2AGhAcbeqg",1.0,"     bactérie mangeus chair pouvoir provoquer infection mortel développer océan profiter réchauffement climatique nombre personne toucher pouvoir doubler     année venir 
   climatecrisi infection ocean"
2023-03-31 17:10:08+00:00,alaindu891,Nouvelle étude : les animaux sauvages contribuent à la lutte contre le réchauffement climatique https://t.co/SUEtm1bNzU,1.0,nouveau étude     animal sauvage contribuer lutte contre réchauffement climatique
2023-03-31 17:10:01+00:00,Mekkiceh,"@SangD_Encre @AnthonyMeilland @LaTacfi @PenelopeB Nous maîtrisons par exemple le brûlage de charbon, on sait par contre que cela implique de tuer 23'000 personnes par an en Europe (dont 4200 morts par an de responsabilité de l'Allemagne seule) et on sait que ça va nous coûter une blinde en réchauffement climatique.",1.0,      maîtrison exempl brûlage charbon savoir contre celer impliquer tuer       personne an europe dont     mort an responsabiliter allemagne seul savoir cela aller coûter blind réchauffement climatique
2023-03-31 17:09:14+00:00,LateAnne,@baboun947_erix @quatremer Surtout vu l'inaction face au réchauffement climatique. peu de chances pour les jeunes d'arriver à l'âge de la retraite.,1.0,    surtout voir inaction face réchauffement climatique peu chance jeune arriver âge retraite
2023-03-31 17:08:50+00:00,Cerise70006827,"@LehLadak @Mohamed22613 @55Bellechasse Un continent perdu par le réchauffement climatique, une population qui migre en occident 😂. Un continent qui se victimize continuellement, au lieu d’aller de l’avant 👍🏻",-1.0,     continent perdre réchauffement climatique population migr occider     continent victimize continuellement lieu aller avant
2023-03-31 17:07:36+00:00,AssociationLaC6,@RousselFabrice pourquoi vous obstiner à détruire l’îlot de biodiversité que constitue l’îlot 9 de la ZAC des Perrières pour construire un Cinéma Multiplex ? Pourquoi détruire la Nature en ville si précieuse en cette période de réchauffement climatique ? Nous ne comprenons pas …,1.0,pourquoi obstiner détruire îlot biodiversité constituer îlot     zac perrière construir cinéma multiplex     pourquoi détruire nature ville si précieux ce période réchauffement climatique     comprenon
2023-03-31 17:05:31+00:00,LaVeroleOff,"Au vu du réchauffement climatique et des sécheresses, ces chiffres n’ont rien de délirant. Ils sont simplement en avance de quelques années",1.0,voir réchauffement climatique sécheresse chiffre rien délirer simplement avance quelque année
2023-03-31 17:02:47+00:00,WinslowIsabelle,On ne parle pas de « réchauffement climatique » mais de « changement climatique » c’est plus juste,-1.0,parle     réchauffement climatique         changement climatique      plus juste
2023-03-31 17:02:35+00:00,VoyageAstucieux,"@Salim029713202 😂🤣🤣🤣 qu'est-ce que c est cette ville ? 😱 
Je pense que c est la conséquence du réchauffement climatique. Tout change brusquement, la météo est en roue libre",1.0,"     ce ville     
  penser conséquence réchauffement climatique tout change brusquement météo rouer libre"
2023-03-31 17:00:32+00:00,RomainFournier_,@2022Elections C’est pas comme si le réchauffement climatique allait nous défoncer la gueule dans quelques années. Mais continuions … gouvernement de girouette et de clown,1.0,comme si réchauffement climatique aller défoncer gueul quelque année continuion     gouvernement girouette clown
2023-03-31 16:59:50+00:00,rere2763hamy,"Écouter Jean-Claude Bourret le réchauffement climatique c'est du blabla
https://t.co/GC0Nx1JVEd",-1.0,"écouter jean claude bourret réchauffement climatique blabla 
"
2023-03-31 16:55:44+00:00,Epiop1,@BrunoRetailleau Alors en fait la situation va tellement échapper rapidement au monde entier à cause du réchauffement climatique que la question ne sera pas est ce qu'on accueille mais de quelle manière. Nous allons rapidement nous retrouver face à des millions de réfugiés supplémentaires.,1.0,alors faire situation aller tellement échapper rapidement monde entier cause réchauffement climatique question accueill quel manière allon rapidement retrouver face million réfugié supplémentaire
2023-03-31 16:48:53+00:00,MarcTheFat,On est en mars et ça sent déjà la transpiration dans les transports en commun. Y'en a encore qui doutent du réchauffement climatique ?,1.0,mars cela sentir déjà transpiration transport commun encore douter réchauffement climatique
2023-03-31 16:47:39+00:00,mouktarbello1,La réponse au réchauffement climatique est clair alors. Mais qui va financer la troisième?,1.0,réponse réchauffement climatique clair alors aller financer troisième
2023-03-31 16:45:49+00:00,Saturnrcitizen,@99gu66 Réchauffement climatique il neigera en été 🤣🪐,1.0,réchauffement climatique neigera
2023-03-31 16:45:42+00:00,je35333571,"@jmyremets Même moment.

Après étude du dernier rapport du GIEC,

et surpris par la pression mise par M. Sar kozy,

pour nous imposer la théorie du ""réchauffement climatique"".

Ce rapport du GIEC avait trop d'incertitudes pour que la théorie soit validée, 
autrement que par des politiques !",-1.0,"moment 

  après étude dernier rapport giec 

  surpri pression mettre sar kozy 

  imposer théorie réchauffement climatique 

  rapport giec trop incertitude théorie valider  
  autrement politique"
2023-03-31 16:45:20+00:00,JeanLan19550,@danielthibault Réchauffement climatique 🤣🤣🤣🤣,-1.0,réchauffement climatique
2023-03-31 16:43:01+00:00,brutofficiel,"Des heures de marche dans la neige pour finalement faire face au glacier Inylchec. @Seb_Frit nous raconte son voyage au Kirghizistan. Le but ramener de belles images, mais aussi alerter sur le Glof : une catastrophe naturelle accentuée par le réchauffement climatique. https://t.co/EbARgvD8LO",1.0,heure march neige finalement faire face glacier inylchec     racont voyage kirghizistan but ramener bel image aussi alerter glof     catastrophe naturel accentuer réchauffement climatique
2023-03-31 16:41:21+00:00,PGuerendel,"@MouldeuxJean @Elpis_R @fmbreon @cassouman40 @valmasdel Le ring avec un tricheur? sinon je vous laisse calculer le gradient du ""puissant et brutal réchauffement climatique"" sur 14000 ans du dernier interglaciaire cité par le CNRS avec celui des 50 dernières années. https://t.co/xJiyni0Lop",1.0,       ring tricheur sinon laisse calculer gradient puisser brutal réchauffement climatique     an dernier interglaciaire cité cnrs celui     dernier année
2023-03-31 16:39:51+00:00,W_U_L_F_55,"@jmyremets Je n’y ai jamais cru, dans les années 2000, il y avait des conférences, auquel j’ai assisté, de terre et peuple, ou le réchauffement climatique était gravement remis en cause, ainsi que l’électricité verte a base d’éoliennes notamment.",-1.0,jamais croire anner      conférence auquel assister terre peuple réchauffement climatique gravement remettre cause ainsi électricité vert base éolien notamment
2023-03-31 16:39:26+00:00,coptic_nc,quand j'etait petit en hiver ca neigeait partout et cette année il faisait plus de 20 degrés dans certaines régions en franfe comment vous faites pour ne pas voir le rechauffement climatique,1.0,quand eter petit hiver ca neiger partout ce année faire plus     degrer certain région franf comment fait voir rechauffement climatique
2023-03-31 16:38:09+00:00,Sifu1984,@TheAvnerSolal Ils prendront une douche froide par semaine pour Lutter contre le réchauffement climatique aux vents solaires....🥳🥳🥳🤡🤡🤡,1.0,prendre douch froid semain lutter contre réchauffement climatique vent solaire
2023-03-31 16:31:13+00:00,Montesqieu1949,@AlexanderPrym C’est logique avec l’incompétente @TinneVdS et @KhattabiZakia . Notre sécurité énergétique est en danger et en plus et contrairement au dernier rapport du GIEC elles sont pour les centrales au gaz qui favorisent le réchauffement climatique et le CO2 @LaCapitale_be @knack @HLN,1.0,logique incompétent      sécurité énergétique danger plus contrairement dernier rapport giec lui central gaz favoriser réchauffement climatique co    
2023-03-31 16:28:22+00:00,FRANCOISGRIVEA2,@Cobra_FX_ Ici elles fabriquent de la sècheresse et du réchauffement climatique elles  sont en trop grand nombre et ce dont on a besoin pour trouver un équilibre c'est de bocage.,1.0,ici lui fabriquer sècheress réchauffement climatique lui trop grand nombre dont besoin trouver équilibre bocage
2023-03-31 16:26:21+00:00,jvnx21,@JCondamine C'est comme le réchauffement climatique  : ils vendent du carbone...,-1.0,comme réchauffement climatique      vendent carbon
2023-03-31 16:23:11+00:00,Valentinouney,ce qui me rend heureux quand je vois ça c'est qu'avec le réchauffement climatique ils passeront pas les canicules,1.0,rendre heureux quand voir cela réchauffement climatique passer canicule
2023-03-31 16:19:12+00:00,FeuillardPhili1,Selon 1 etude il y a bien 1 lien entre le rechauffement climatique et l'usage intensif de gaz lacrymogenes.,1.0,selon     etude bien     lien entrer rechauffemer climatique usage intensif gaz lacrymogene
2023-03-31 16:14:10+00:00,Intel185,L'impact du numérique sur la planète ce n'est pas forcément un bon signe en fait pour le réchauffement climatique en tout cas,1.0,impact numérique planèt forcément bon signe faire réchauffement climatique tout cas
2023-03-31 16:08:49+00:00,BAMB0LE0_,je vais devenir un expert du réchauffement climatique avec tous les trucs qu’on a fait dessus en allemand 💀,1.0,aller devenir expert réchauffement climatique tout truc faire dessus allemand
2023-03-31 16:08:35+00:00,Olivier40121476,"Solaire en termes de sécheresse étaient encore relayés par les médias mainstream il y a 10 ans : 
« Des projets d'ingénierie à grande échelle visant à lutter contre le réchauffement climatique pourraient réduire radicalement les précipitations en #Europe et en Amérique du Nord, a",1.0,"solaire terme sécheresse encore relayer média mainstream     an   
    projet ingénierie grand échelle viser lutter contre réchauffement climatique pouvoir réduire radicalement précipitatier europ amérique nord"
2023-03-31 16:08:13+00:00,ananasela29,"@tillon_laurent @hugoclement @Fredjoseph67 Sur certaines questions comme celle-ci, SI il faut arbitrer entre une cause environnementale locale et le réchauffement climatique, il va falloir prioriser la lutte contre le RC et donc réduire drastiquement les émissions de GES",1.0,     certain question comme celui ci si falloir arbitrer entrer cause environnemental local réchauffement climatique aller falloir prioriser lutte contre rc donc réduire drastiquemer émission ges
2023-03-31 16:03:34+00:00,sylvianneCruci1,"@Biogaran Avec le réchauffement climatique actif et les restrictions d eau, comment allez-vous vous adapter.  Qui plus est dans l hygiène.",1.0,réchauffement climatique actif restriction eau comment aller adapter     plus hygiène
2023-03-31 16:01:31+00:00,Mag6212,"@EmmanuelMacron Mais il va s’arrêter quand le poudré ? Coco, crise sanitaire, le quoi qu’il en coûte, inflation, augmentation de l’énergie, l’eau, réchauffement climatique tout est faux , on vous voit venir avec votre crédit social à la Chinoise, nous nous laisserons pas faire. #MacronDegage",-1.0,aller arrêter quand poudrer     coco crise sanitaire quoi coûter inflation augmentation énergie eau réchauffement climatique tout faux     voit venir crédit social chinois laisser faire     macrondegage
2023-03-31 16:00:27+00:00,ClaireDepardieu,"@LeJurassien_ @TerDijonMacon @JourneauCedric @MarieGuiteDufay @Aguilera_Fred Merci pour ces précisions ! Je découvre un peu tout cela ayant déménagé de Lyon il y a peu. Dans le contexte actuel de réchauffement climatique, plus aucune ligne ne devrait fermer...",1.0,       merci précision     découvrir peu tout celer déménager lyon peu contexte actuel réchauffement climatique plus aucun ligne devoir fermer
2023-03-31 15:58:09+00:00,lepourmener,"👍 Samedi 1er avril à 15h00 : Conférence -  Les mots de l’énergie : réchauffement climatique, gaz à effet de serre  avec Christian de Perthuis. Sur inscription. Cité de l'Économie 1, place du Général-Catroux",1.0,    samedi er avril         conférence      mot énergie     réchauffement climatique gaz effet serre     christian perthuis inscription citer économie      place général catroux
2023-03-31 15:58:07+00:00,Olivier40121476,"solaire en termes de sécheresse étaient encore relayés par les médias mainstream il y a 10 ans : 
« Des projets d'ingénierie à grande échelle visant à lutter contre le réchauffement climatique pourraient réduire radicalement les précipitations en #Europe et en Amérique du Nord, a",1.0,"solaire terme sécheresse encore relayer média mainstream     an   
    projet ingénierie grand échelle viser lutter contre réchauffement climatique pouvoir réduire radicalement précipitatier europ amérique nord"
2023-03-31 15:57:16+00:00,tillon_laurent,"@hugoclement @ananasela29 @Fredjoseph67 Par ailleurs, à cause du réchauffement et de la sécheresse, des milliers d’ha de forêts dépérissent et meurent. Donc ce carbone atmosphérique supplémentaire contribue au phénomène climatique qui fait mourrir nos arbres, qui ne captent plus ce carbone",1.0,     ailleurs cause réchauffement sécheresse millier ha forêt dépérir meurent donc carbone atmosphérique supplémentaire contribuer phénomèn climatique faire mourrir arbre capter plus carbon
2023-03-31 15:57:05+00:00,Jack0fS,"Au pays de Descartes que pense-t-on du code de la route et du réchauffement climatique ?! Franchement ! 
Roger, je sais pas si t'as vu mais en 2023 y'a des vrais problèmes autre que tes fantasmes de vieux facho...",-1.0,"pays descarte penser code rout réchauffement climatique     franchement   
  roger savoir si voir     vrai problème autre fantasme vieux facho"
2023-03-31 15:55:37+00:00,onomatt,"@EELV_PDL @roldata @ConfPaysanne @EmmanuelMacron Vous fatiguez pas @EELV_PDL, encore un hurluberlu qui est à deux doigts de certifier que le nombre d'insectes ne décline pas, que l'homme n'a pas d'incidence sur le réchauffement climatique (et d'ailleurs, existe-t-il vraiment ?) et qu'il n'y a pas de violences policières 🤣",1.0,      fatiguez     encore hurluberlu deux doigt certifier nombre insecte décline homme incidence réchauffement climatique ailleurs exister vraiment     violence policier
2023-03-31 15:55:25+00:00,RhoSigma2,"@g_turri @Echangesclimat On peut aussi ajouter le fait que les centrales réchauffent la mer (ça c'est M. Mélenchon), ou que le fait que l'eau est un GES (et c'est vrai !) fait que les centrales contribuent au réchauffement climatique 😂
Tant qu'on réfléchit pas trop, plus c'est gros plus ça passe",1.0,"    pouvoir aussi ajouter fait central réchauffer mer cela mélenchon faire eau ge vrai     fait central contribuer réchauffement climatique  
  tant réfléchit trop plus gros plus cela passer"
2023-03-31 15:55:06+00:00,OmondoPresse,Réchauffement climatique   « Historique » : l'ONU adopte une résolution pour la justice climatique https://t.co/K1do3VcO6r j,1.0,réchauffement climatique       historique       onu adopter résolution justice climatique
2023-03-31 15:51:45+00:00,JulienLecaille,"La ressource est déjà épuisée et polluée massivement, notamment par les pesticides et les nitrates. Le réchauffement climatique arrive déjà dans une situation critique. Avec des terres déjà artificialisées. Avec des haies arrachées.",1.0,ressource déjà épuiser polluer massivement notamment pesticide nitrate réchauffement climatique arriver déjà situation critique terre déjà artificialiser haie arracher
2023-03-31 15:49:09+00:00,NBorderes,"@Another_History @sandrousseau LE cycle de l'eau est plus impacté 0ar le réchauffement climatique que par des retenues d'eau.
Le projet a été validé par des hydrologues qui sont, sauf preuve du contraire, plus compétent sur le sujet que vous et moi reunis",1.0,"    cycle eau plus impacter ar réchauffement climatique retenir eau 
  projet valider hydrologue sauf preuve contraire plus compétent sujet reunis"
2023-03-31 15:47:55+00:00,NEOMAbs,"💡La décroissance est-elle obligatoire pour limiter le réchauffement climatique ? 

@nicobefort, Directeur de la Chaire #bioéconomie #NEOMAbs, intervient sur le plateau de @onrefaitleco 

https://t.co/h8u4bcHw4B",1.0,"décroissance obligatoire limiter réchauffement climatique   

    directeur chair bioéconomie neomab intervenir plateau  

"
2023-03-31 15:43:06+00:00,Limportant_fr,"Réintroduire seulement 9 espèces animales, dont les loups et les baleines, contribuerait à limiter le réchauffement climatique https://t.co/7Sy984pc0G @mongabay https://t.co/11u1KFNW3R",1.0,réintroduir seulement     espèce animal dont loup baleine contribuer limiter réchauffement climatique   
2023-03-31 15:40:45+00:00,SylvieDERAM1,@luisadasilvaal2 @Theydoronrons @kevinbossuet @GGMO_i24 @BPetrover parceque vous savez que j'ai contesté la coupe du monde pour le réchauffement climatique ???,1.0,       parceque savoir contester coupe monde réchauffement climatique
2023-03-31 15:40:32+00:00,aapwvn,Ptdrrr les agents du ministère de l'environnement qui brûlent des pneus dérivés des hydrocarbures ayant des longues chaînes de carbone et libérant une grande quantité de CO2 au moment où le monde entier crie sur le réchauffement climatique. Quel drame!,1.0,ptdrrr agent ministèr environnement brûler pneu dériver hydrocarbure long chaîne carbone libérant grand quantité co moment où monde entier crie réchauffement climatique quel drame
